[NVBLAS] Using devices :0 
[NVBLAS] Config parsed
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=1024, n=128, k=1
[NVBLAS] sgemm[cpu]: ta=N, tb=N, m=128, n=1024, k=1
